//
// x0 values  from MATLAB
//
@00000000 111101011110_1001
@000000fd 110111101010_0100
@000000fe 111000111000_1001
@000000ff 111111111000_0000
@00000100 111011011111_0111
@00000101 111111111000_0000
@00000102 001010101011_0011
@00000103 000000000010_0111
@00000104 111101011000_1100
@00000105 111010100011_1011
@00000106 001000100100_0001
@00000107 000000001000_0000
@00000108 000001101011_0001
@00000109 111111111000_0000
@0000010a 000100001000_1011
@0000010b 111010001111_0111
@0000010c 111111111000_0000
@0000010d 000111001111_1001
@0000010e 111011110101_0111
@0000010f 000001111110_0111
@00000110 101101101101_1111
@00000111 000000001000_0000
@00000112 000101100010_1001
@00000113 111111111000_0000
@00000114 000111111011_0111
@00000115 111110010100_1110
@00000116 000000111111_1001
@00000117 110110010101_1010
@00000118 000000001000_0000
@00000119 001001000101_0001
@0000011a 111111111000_0000
@0000011b 001100001111_1111
@0000011c 111111111000_0000
@0000011d 000000001000_0000
@0000011e 111101000011_0101
@0000011f 000000111010_0001
@00000120 000101000100_1010
@00000121 111110111110_0111
@00000122 111111110010_0111
@00000123 000000101011_0000
@00000124 000000001000_0000
@00000125 001011101011_1100
@00000126 000011011010_0111
@00000127 111101111100_1001
@00000128 010011111010_1100
@00000129 000000101000_0000
@0000012a 001010111010_0011
@0000012b 000000001000_0000
@0000012c 000000111100_0001
@0000012d 111111111000_0000
@0000012e 111111111000_0000
@0000012f 000010000101_0001
@00000130 000000001000_0000
@00000131 111111111111_1110
@00000132 111111111000_0000
@00000133 111111010000_1110
@00000134 000000001000_0000
@00000135 000000001000_0000
@00000136 111000101110_0100
@00000137 000010110000_0100
@00000138 111111111000_0000
@00000139 001000011100_1111
@0000013a 001000110110_1111
@0000013b 101110100000_0101
@0000013c 111111010110_1111
@0000013d 111111111000_0100
@0000013e 001100011101_1001
@0000013f 000000100010_0101
@00000140 000000001000_0000
@00000141 000101010001_0110
@00000142 111111111000_0000
@00000143 110111110010_1101
@00000144 101011111111_0001
@00000145 000000001000_0000
@00000146 000000001000_0000
@00000147 101010100000_1111
@00000148 111101100110_0000
@00000149 000000001000_0000
@0000014a 111111100111_0111
@0000014b 111111000110_1010
@0000014c 000001001000_1110
@0000014d 000000001000_0000
@0000014e 111101000110_1010
@0000014f 000000000011_1101
@00000150 001101010011_1101
@00000151 110110011101_0110
@00000152 000000001000_0000
@00000153 111111110110_1000
@00000154 000000101011_1001
@00000155 111011101110_0111
@00000156 111110100011_1000
@00000157 001001011010_0010
@00000158 000101110010_0010
@00000159 000010101100_0110
@0000015a 000000001000_0000
@0000015b 000000001000_0000
@0000015c 111110111010_0111
@0000015d 111111111000_0000
@0000015e 110010110011_0111
@0000015f 111011000000_1111
@00000160 110100010110_1101
@00000161 000001001011_0001
@00000162 110011010010_1101
@00000163 111111111000_0000
@00000164 101101011000_1000
@00000165 000000001000_0000
@00000166 111101011111_0111
@00000167 000000000101_0000
@00000168 000001001011_0000
@00000169 000001000110_0110
@0000016a 110110100110_0000
@0000016b 111000101111_1110
@0000016c 111111111000_0000
@0000016d 111100111101_0000
@0000016e 111010111000_0100
@0000016f 001011110101_0111
@00000170 101100101001_1101
@00000171 001011011100_1110
@00000172 110110000000_1110
@00000173 000001001001_1111
@00000174 111111111000_0000
@00000175 111111010011_1101
@00000176 000000001000_0000
@00000177 000000110110_0001
@00000178 001001000001_1110
@00000179 111011001011_0110
@0000017a 001000001001_0110
@0000017b 001011010010_1100
@0000017c 111101010001_0111
@0000017d 111111111000_0000
@0000017e 000110010101_0100
@0000017f 111111111000_0000
@00000180 111111111000_0000
@00000181 110001111000_0110
@00000182 000100100010_1100
@00000183 111111111000_0000
@00000184 111101111000_0001
@00000185 000100111101_0001
@00000186 000011001111_0100
@00000187 110100011101_1001
@00000188 111111111000_0000
@00000189 110000000110_0101
@0000018a 010000010101_0010
@0000018b 111100111010_1100
@0000018c 000000000011_0010
@0000018d 111011111111_0111
@0000018e 000001111110_0001
@0000018f 111110001010_0111
@00000190 000000001000_0000
@00000191 010101101101_1000
@00000192 111001100000_1000
@00000193 111111111000_0000
@00000194 001111101101_1101
@00000195 000011101011_1101
@00000196 001001000000_1011
@00000197 111110111100_0010
@00000198 110011010010_1110
@00000199 111011011000_1100
@0000019a 000010100001_0111
@0000019b 000000000001_0010
@0000019c 111001000101_0001
@0000019d 111110000101_0100
@0000019e 111111111000_0000
@0000019f 000010100100_0100
@000001a0 001010011110_0011
@000001a1 111111111000_0000
@000001a2 000000001000_0000
@000001a3 010000001111_1111
@000001a4 111101001111_0101
@000001a5 110111000011_0100
@000001a6 000000001000_0000
@000001a7 111110010011_0010
@000001a8 001010111101_0111
@000001a9 001100101110_0111
@000001aa 000001101011_1011
@000001ab 000000000001_1111
@000001ac 110110111000_0000
@000001ad 111111111000_0000
@000001ae 111000011111_0010
@000001af 101001111101_1111
@000001b0 000000001000_0000
@000001b1 111111110010_0111
@000001b2 000010101000_0100
@000001b3 001000000110_1101
@000001b4 111101000011_1010
@000001b5 110011011110_1001
@000001b6 000000001000_0000
@000001b7 000011010110_1101
@000001b8 111101111101_1010
@000001b9 101101101110_1001
@000001ba 000001111101_1111
@000001bb 101101100101_1101
@000001bc 000000001010_1010
@000001bd 111110111100_0111
@000001be 000000100101_0000
@000001bf 000110011111_0001
@000001c0 101101111111_1101
@000001c1 110110010010_1000
@000001c2 000000001000_0000
@000001c3 001000101110_0011
@000001c4 111101000110_1111
@000001c5 110110110000_1001
@000001c6 111110011111_1000
@000001c7 110100010000_0001
@000001c8 000000101001_1110
@000001c9 110101001111_1101
@000001ca 111111111000_0000
@000001cb 111010011000_1000
@000001cc 111111111000_0000
@000001cd 111111001011_1000
@000001ce 001111000000_0010
@000001cf 001000101001_1100
@000001d0 000100101011_0000
@000001d1 000000110101_0110
@000001d2 000010000001_0110
@000001d3 000111000010_0110
@000001d4 111111100111_0111
@000001d5 000101110100_1001
@000001d6 000111101110_0011
@000001d7 111111111000_0000
@000001d8 001011000110_0010
@000001d9 111111110101_1000
@000001da 001011100000_0000
@000001db 000101110011_0100
@000001dc 000000010001_1010
@000001dd 111111111000_0000
@000001de 111111110100_0110
@000001df 111110100101_0110
@000001e0 111110111100_0011
@000001e1 000011101011_1000
@000001e2 000000100010_0110
@000001e3 111111111000_0000
@000001e4 000101011100_0101
@000001e5 000000001000_0000
@000001e6 111111111111_0100
@000001e7 111000010010_1111
@000001e8 111000000001_1110
@000001e9 000011010001_1001
@000001ea 110000110111_1011
@000001eb 001001000001_0000
@000001ec 000000001000_0000
@000001ed 001100011100_0110
@000001ee 111001101001_0110
@000001ef 111111111000_0000
@000001f0 111111111010_0011
@000001f1 111111111000_0000
@000001f2 111011111000_1010
@000001f3 001111110000_1110
@000001f4 110000100100_1011
@000001f5 111010001011_0100
@000001f6 111100111110_0000
@000001f7 000000001000_0000
@000001f8 111101110111_0110
@000001f9 110010011010_1100
@000001fa 111111111000_0000
@000001fb 000000010010_0110
@000001fc 110111110001_0101
@000001fd 111100111101_0000
@000001fe 001010001001_1111
@000001ff 001101001010_0100
@00000200 111111111110_1000
@00000201 000010010111_0000
@00000202 111111111000_0000
@00000203 000001111110_1001
@00000204 000001011111_1101
@00000205 000000101110_1110
@00000206 111111010100_1011
@00000207 001100111101_1111
@00000208 110111010001_0101
@00000209 101100001010_0111
@0000020a 111111111100_1000
@0000020b 111111111000_0000
@0000020c 111001001001_1100
@0000020d 111111111000_0000
@0000020e 001111100000_0100
@0000020f 111010111000_1011
@00000210 000000001000_0000
@00000211 001100011010_1010
@00000212 010010000001_0111
@00000213 111110110110_1111
@00000214 001100011100_0110
@00000215 111101011110_1110
@00000216 110011111100_1010
@00000217 000100010111_0011
@00000218 111111101111_0010
@00000219 111101101000_0111
@0000021a 110111111100_1101
@0000021b 111111111000_0000
@0000021c 111111001100_0000
@0000021d 000000001000_0000
@0000021e 001110100001_1111
@0000021f 000100011100_1011
@00000220 010001000000_0101
@00000221 000101000011_1110
@00000222 000010000010_1110
@00000223 111110000111_1110
@00000224 111111111000_0000
@00000225 111100000011_0001
@00000226 111111001001_0010
@00000227 111100011110_1111
@00000228 010110111100_0000
@00000229 000011000000_1011
@0000022a 111111101110_0011
@0000022b 111111001000_1101
@0000022c 111111111000_0000
@0000022d 000000001000_0000
@0000022e 111111111000_0000
@0000022f 000111100011_0111
@00000230 111010000001_1010
@00000231 001000100000_0000
@00000232 000011100101_0111
@00000233 001110110000_0101
@00000234 000000001000_0000
@00000235 111011000001_1000
@00000236 000011001001_0011
@00000237 111111111000_0000
@00000238 101010001110_0111
@00000239 110001110011_0001
@0000023a 001000010001_1101
@0000023b 000001111010_1101
@0000023c 000010100001_1001
@0000023d 111001011100_0011
@0000023e 111111111000_0000
@0000023f 110110110011_1011
@00000240 000001111010_1101
@00000241 001000101100_0001
@00000242 000000001000_0000
@00000243 101101000000_0000
@00000244 000000001000_0000
@00000245 000000001000_0000
@00000246 111111011000_1011
@00000247 000000101111_0101
@00000248 000000000000_0101
@00000249 000000101101_1011
@0000024a 000000001000_0000
@0000024b 111111001101_0000
@0000024c 110010011100_1001
@0000024d 111001000101_0001
@0000024e 111000011110_1010
@0000024f 000000000110_0000
@00000250 111110000011_0000
@00000251 111111111000_0000
@00000252 111101001111_1011
@00000253 101111000111_1010
@00000254 000100010100_1000
@00000255 001001010000_1100
@00000256 111111111000_0000
@00000257 111111111000_0000
@00000258 110100111100_0010
@00000259 101110101111_1110
@0000025a 111111111101_0100
@0000025b 111111111000_0000
@0000025c 110000110011_1110
@0000025d 000000001000_0000
@0000025e 111011110100_0101
@0000025f 000000001000_0000
@00000260 111111111000_0000
@00000261 000100101001_1100
@00000262 000001010111_0001
@00000263 111111111000_0000
@00000264 111111110101_0001
@00000265 001110010100_1110
@00000266 111111111000_0000
@00000267 000001011001_0000
@00000268 111111111000_0000
@00000269 111111011110_0001
@0000026a 001001001111_1010
@0000026b 111101111100_0110
@0000026c 111010011111_0100
@0000026d 000000001000_0000
@0000026e 000001011011_1111
@0000026f 001000000110_0011
@00000270 000000000110_1101
@00000271 110110101100_0111
@00000272 010000100000_0111
@00000273 001001110001_0010
@00000274 000000001000_0000
@00000275 000100010111_1000
@00000276 110000111101_1111
@00000277 000000001000_0000
@00000278 000000001000_0000
@00000279 000000001000_0000
@0000027a 110011101110_0110
@0000027b 001011100001_1100
@0000027c 000001111110_0100
@0000027d 000000001000_0000
@0000027e 000000001000_0000
@0000027f 111100100011_0001
@00000280 001011000111_1011
@00000281 000000000010_1000
@00000282 111111111000_0000
@00000283 000011100010_0010
@00000284 000000001000_0000
@00000285 001100100111_0001
@00000286 001101110010_1110
@00000287 000000001110_0111
@00000288 001110100101_0001
@00000289 111010000000_0101
@0000028a 000110011011_1110
@0000028b 110011010001_1101
@0000028c 111101010101_0110
@0000028d 111111111000_0000
@0000028e 000000001000_0000
@0000028f 000010110001_1010
@00000290 111001010101_0100
@00000291 000101101010_0011
@00000292 111100010001_1101
@00000293 111111011101_1011
@00000294 000000001001_0000
@00000295 000110110001_0111
@00000296 000000001000_0000
@00000297 000001000111_1011
@00000298 000010111110_1001
@00000299 101111111110_1001
@0000029a 111111111000_0000
@0000029b 110101110001_0001
@0000029c 000000001000_0000
@0000029d 101010110110_0000
@0000029e 000000001000_0000
@0000029f 111111000111_1000
@000002a0 111111111000_0000
@000002a1 001001010000_0010
@000002a2 000010010111_0100
@000002a3 111111111000_0000
@000002a4 000001011100_1000
@000002a5 110101100111_0010
@000002a6 001101111010_1101
@000002a7 111111111000_0000
@000002a8 111101010101_1001
@000002a9 000000001000_0000
@000002aa 000010010101_0000
@000002ab 000110101100_1000
@000002ac 111111000100_0100
@000002ad 001000110110_1111
@000002ae 001001111011_1010
@000002af 110110000011_1000
@000002b0 001101100010_0100
@000002b1 111111111000_0000
@000002b2 000011011010_1011
@000002b3 110111100010_0001
@000002b4 010001101011_1101
@000002b5 000010111011_0101
@000002b6 000000001000_0000
@000002b7 111111111000_0000
@000002b8 111111110001_0101
@000002b9 001110000000_1010
@000002ba 000010111000_0010
@000002bb 000001010010_1010
@000002bc 111111111000_0000
@000002bd 111111111000_0000
@000002be 111101010111_0101
@000002bf 111111111000_0000
@000002c0 111111000111_1110
@000002c1 001111011101_1001
@000002c2 001001110100_1101
@000002c3 111110111110_1001
@000002c4 001011111100_0110
@000002c5 010010110010_1100
@000002c6 101110111111_0110
@000002c7 000000100101_1001
@000002c8 111111111000_0000
@000002c9 111111111010_1100
@000002ca 110110101110_0110
@000002cb 000000001000_0000
@000002cc 000000001000_0000
@000002cd 001110101011_0111
@000002ce 000001000001_0111
@000002cf 000000001000_0000
@000002d0 111111111000_0000
@000002d1 000001111010_1110
@000002d2 000011001000_1011
@000002d3 111111111000_0000
@000002d4 000000001000_0000
@000002d5 000000011001_1010
@000002d6 101100101110_1000
@000002d7 000000011101_0111
@000002d8 111110000111_0000
@000002d9 000000001000_0000
@000002da 111111111000_0000
@000002db 001001100011_1100
@000002dc 000000000001_1011
@000002dd 000010011111_1111
@000002de 110011101100_1010
@000002df 110000110010_0110
@000002e0 000010111011_1010
@000002e1 000000001000_0000
@000002e2 110110001101_0111
@000002e3 000000111011_0001
@000002e4 000000001000_0000
@000002e5 110101111100_1110
@000002e6 000101000011_0000
@000002e7 000011010011_1001
@000002e8 001000100101_1001
@000002e9 111000001001_1010
@000002ea 111111111010_1010
@000002eb 000000001000_0000
@000002ec 000011110000_1110
@000002ed 111111111000_0000
@000002ee 111111111000_0000
@000002ef 111000111101_1000
@000002f0 000110010100_1101
@000002f1 111100101011_0010
@000002f2 110101100110_1010
@000002f3 000111110101_0110
@000002f4 111001100000_0101
@000002f5 111111111000_0000
@000002f6 001010101011_0011
@000002f7 111010010100_0111
@000002f8 111000101001_0001
@000002f9 110001001000_0111
@000002fa 111110100011_1110
@000002fb 111110110111_0000
@000002fc 111111111000_0000
@000002fd 111010101001_0100
@000002fe 000000011101_0111
@000002ff 111111110010_0110
@00000300 111110111001_0100
@00000301 000001111010_1101
@00000302 111100101110_1101
@00000303 000000000101_1110
@00000304 111111111000_0000
@00000305 000111000000_1010
@00000306 110101010111_1010
@00000307 000001111101_0010
@00000308 110001010010_1000
@00000309 000000000001_0101
@0000030a 111111111000_0000
@0000030b 110110010110_0100
@0000030c 111111111000_0000
@0000030d 001101010010_0011
@0000030e 111110001011_0100
@0000030f 110110100001_0101
@00000310 010100110111_1011
@00000311 010111111100_0110
@00000312 111111111000_0000
@00000313 111111111000_0000
@00000314 110111010001_0101
@00000315 000000001010_1001
@00000316 000000001000_0000
@00000317 111100100111_1010
@00000318 111111010111_1011
@00000319 110100000101_0001
@0000031a 111100111001_0110
@0000031b 010101000101_0010
@0000031c 111111111000_0000
@0000031d 110101101101_0110
@0000031e 111011010001_0000
@0000031f 000000001000_0000
@00000320 000000001000_0000
@00000321 000011011100_1111
@00000322 010001101100_0110
@00000323 111111101011_0101
@00000324 001110000110_1011
@00000325 111011111100_0101
@00000326 110011100111_1100
@00000327 000000100101_1110
@00000328 111110100101_0110
@00000329 101100111101_0100
@0000032a 110110010001_1011
@0000032b 000000001000_0000
@0000032c 000000001000_0000
@0000032d 111111111000_0000
@0000032e 000000000111_1001
@0000032f 111111111000_0000
@00000330 000000000101_1010
@00000331 001011101000_1001
@00000332 101011101111_1111
@00000333 000110011111_0001
@00000334 000000001000_0000
@00000335 000110100001_0101
@00000336 111111010000_0011
@00000337 111101001101_0010
@00000338 000000001000_0000
@00000339 001110000101_1001
@0000033a 000000001000_0000
@0000033b 111111111000_0000
@0000033c 001001010100_1000
@0000033d 010001001011_1110
@0000033e 111110000000_0111
@0000033f 000000100100_1110
@00000340 000001001000_0101
@00000341 111111111000_0000
@00000342 111111111000_0000
@00000343 111111111000_0000
@00000344 111011111000_1101
@00000345 001111000011_1000
@00000346 000100010100_1111
@00000347 000010000110_1110
@00000348 000010010001_1100
@00000349 110001110001_0011
@0000034a 001010111011_0111
@0000034b 111111111000_0000
@0000034c 110000100000_1000
@0000034d 110110100011_1000
@0000034e 111110001100_1111
@0000034f 001001100001_0000
@00000350 000001100000_0011
@00000351 110101110001_0100
@00000352 000000001000_0000
@00000353 111000011001_0010
@00000354 000000001000_0000
@00000355 111011011100_0011
@00000356 101010001000_0100
@00000357 111001101100_0000
@00000358 111111111000_0000
@00000359 111111111000_0000
@0000035a 000100010000_1010
@0000035b 001010110100_0011
@0000035c 110000110010_0011
@0000035d 000101101010_0100
@0000035e 110111010111_0011
@0000035f 111011110001_1001
@00000360 000010100100_0011
@00000361 111101011011_1011
@00000362 000000000000_0000
@00000363 001100001000_1010
@00000364 111100011101_1101
@00000365 110111001011_0010
@00000366 000000100111_1100
@00000367 101001101000_1001
@00000368 000000001000_0000
@00000369 111101101010_1010
@0000036a 111111000110_1100
@0000036b 010110111110_1000
@0000036c 000100100110_0100
@0000036d 000000100111_1100
@0000036e 101101110101_0110
@0000036f 000110101101_1010
@00000370 010110001011_1100
@00000371 111000001001_0110
@00000372 000010110011_1001
@00000373 111111111101_0010
@00000374 010011011011_1000
@00000375 000000000110_0000
@00000376 111110010010_1110
@00000377 000000101101_1111
@00000378 110110111111_0000
@00000379 000101001110_1010
@0000037a 111111111000_0000
@0000037b 111111111000_0000
@0000037c 000000001000_0000
@0000037d 000000001000_0000
@0000037e 000010010111_0010
@0000037f 000101001100_1100
@00000380 000000001000_0000
@00000381 000011001010_1000
@00000382 111001111000_0000
@00000383 111101110101_0100
@00000384 110001010000_1010
@00000385 110100100110_1100
@00000386 001101011000_1010
@00000387 001001100000_1011
@00000388 000010101001_1101
@00000389 101110010000_0100
@0000038a 000011001000_0101
@0000038b 111111111000_0000
@0000038c 111111111000_0000
@0000038d 110101100111_0101
@0000038e 000000001000_0000
@0000038f 111111111000_0000
@00000390 111111111000_0000
@00000391 000111101111_1011
@00000392 110110111110_0100
@00000393 111101010010_1110
@00000394 000000111101_0101
@00000395 000011011000_0010
@00000396 000000001000_0000
@00000397 001011101101_0110
@00000398 111111111000_0000
@00000399 101111100111_0000
@0000039a 001101010010_0011
@0000039b 101111010011_1110
@0000039c 111001111101_0001
@0000039d 000011111000_1101
@0000039e 111110100001_1011
@0000039f 111111111110_1101
@000003a0 110100110100_1111
@000003a1 111100110101_1110
@000003a2 000010100101_0110
@000003a3 101101100011_1001
@000003a4 111110101010_1000
@000003a5 101111011001_1101
@000003a6 001001010001_1010
@000003a7 010100101111_1110
@000003a8 110011101100_0100
@000003a9 000111000101_0101
@000003aa 001010011100_1011
@000003ab 111101111000_1111
@000003ac 111101110100_0011
@000003ad 000000001000_0000
@000003ae 111011010101_0011
@000003af 000011011000_0110
@000003b0 110110000111_0000
@000003b1 101111100100_0100
@000003b2 110111011100_1101
@000003b3 000000001000_0000
@000003b4 111101111101_0011
@000003b5 111111110101_0111
@000003b6 111000111010_0101
@000003b7 111111110110_0110
@000003b8 111111111100_0000
@000003b9 000110101110_0100
@000003ba 000000011000_0000
@000003bb 111111101100_0101
@000003bc 000000110101_0100
@000003bd 111111111000_0000
@000003be 000000001000_0000
@000003bf 001001100010_1010
@000003c0 000011001110_1010
@000003c1 111111111111_0110
@000003c2 111110101100_0000
@000003c3 111110110111_0110
@000003c4 000000001000_0000
@000003c5 000000001000_0000
@000003c6 000001000101_1011
@000003c7 000000001000_0000
@000003c8 000000001000_0000
@000003c9 111111111000_0000
@000003ca 000000001000_0000
@000003cb 111111111110_0011
@000003cc 000101011110_1100
@000003cd 111111111000_0000
@000003ce 010010000010_0111
@000003cf 111001111010_1111
@000003d0 110110100011_1001
@000003d1 000000001000_0000
@000003d2 111111111000_0000
@000003d3 111110101011_0001
@000003d4 111011000111_0100
@000003d5 111100110110_0010
@000003d6 111101000100_0101
@000003d7 111111111000_0000
@000003d8 001101010111_1101
@000003d9 000101110101_0001
@000003da 111101011001_1100
@000003db 111111101110_0010
@000003dc 001100001111_0111
@000003dd 000000000010_1101
@000003de 000000001000_0000
@000003df 000000100010_0010
@000003e0 110100111100_0011
@000003e1 001000110100_0110
@000003e2 110100011001_1110
@000003e3 110111110000_0010
@000003e4 111111111000_0000
@000003e5 110100101100_0101
@000003e6 111001000111_1110
@000003e7 111111111000_0000
@000003e8 111000001100_0110
@000003e9 001011011001_0011
@000003ea 111111111000_0000
@000003eb 010100111111_1111
@000003ec 111111111000_0000
@000003ed 111000010011_1100
@000003ee 000001000011_1111
@000003ef 111101001001_0100
@000003f0 111011011000_1110
@000003f1 110100111001_0001
@000003f2 110110000011_0110
@000003f3 111111111000_0000
@000003f4 000000001000_0000
@000003f5 111111111000_0000
@000003f6 001001010011_1101
@000003f7 110110101010_1101
@000003f8 000100011001_0100
@000003f9 000011011011_1111
@000003fa 111101000101_1000
@000003fb 000110001100_0111
@000003fc 111101100100_0111
@000003fd 111011000011_0110
@000003fe 001010110000_0110
@000003ff 000000001000_0000
@00000400 110101011010_0110
@00000401 111001111110_0100
@00000402 000000100111_1101
